# Generated workload
name,arrival,burst
1,0,4
2,0,9
3,1,8
4,2,4
5,7,18
6,7,19
7,10,2
8,10,3
9,11,8
10,15,20
11,15,18
12,16,18
13,19,8
14,22,19
15,24,1
16,25,14
17,27,9
18,28,7
19,30,4
20,30,13
21,30,12
22,32,20
23,34,2
24,39,15
25,43,4
26,46,3
27,50,10
28,55,20
29,57,19
30,58,3
31,58,8
32,60,3
33,61,4
34,64,9
35,67,12
36,68,12
37,70,7
38,75,9
39,80,3
40,84,6
41,88,8
42,89,15
43,92,9
44,97,18
45,98,11
46,98,8
47,98,11
48,101,9
49,101,7
50,105,11
51,106,16
52,109,15
53,110,9
54,111,8
55,116,18
56,120,9
57,125,19
58,128,19
59,131,12
60,132,5
61,136,16
62,136,2
63,136,5
64,141,6
65,146,14
66,150,3
67,153,13
68,157,15
69,161,9
70,165,1
71,170,4
72,175,18
73,177,11
74,177,10
75,180,6
76,183,1
77,188,9
78,192,6
79,196,4
80,201,10
81,206,17
82,210,7
83,211,12
84,212,18
85,216,1
86,220,11
87,223,1
88,223,12
89,225,8
90,225,8
91,229,3
92,229,16
93,229,18
94,230,5
95,235,16
96,239,6
97,241,17
98,245,14
99,246,18
100,251,7
