# Generated workload
name,arrival,burst
1,0,18
2,1,88
3,2,7
4,7,9
5,11,2
6,11,9
7,11,99
8,12,9
9,13,18
10,18,1
11,18,94
12,19,12
13,23,14
14,24,73
15,24,7
16,29,56
17,31,14
18,35,8
19,36,6
20,39,97
21,41,14
22,46,8
23,48,94
24,48,2
25,51,79
26,53,8
27,54,62
28,57,3
29,59,17
30,62,18
31,64,4
32,66,66
33,66,77
34,68,11
35,71,17
36,71,19
37,72,95
38,75,84
39,80,7
40,82,11
41,86,4
42,91,17
43,93,11
44,96,18
45,97,92
46,100,6
47,104,13
48,108,10
49,110,100
50,114,11
51,117,7
52,121,6
53,126,82
54,131,11
55,131,8
56,136,7
57,137,65
58,140,3
59,143,19
60,144,13
61,147,5
62,152,4
63,155,94
64,159,18
65,160,4
66,163,79
67,168,18
68,172,15
69,176,17
70,179,18
71,182,16
72,185,65
73,190,99
74,194,8
75,196,10
76,197,70
77,201,59
78,202,5
79,207,76
80,210,15
81,213,76
82,216,19
83,221,98
84,225,1
85,227,74
86,230,18
87,234,16
88,235,81
89,235,13
90,240,79
91,241,18
92,241,19
93,245,3
94,250,15
95,251,74
96,253,70
97,255,13
98,257,14
99,259,16
100,259,2
